Id,Label,timeset,hash,member,stakes,weighted degree,modularity_class,pageranks
64,64,,0x2b2accf05f1dbab79afdc25395f7dabc76e6132b,1,0,0,63,0.001301
65,65,,0x2b8e92e075efb988d48a6c33d5e268efe23806d7,1,0,0,64,0.001301
66,66,,0x2cc54bffe6cb8ab8972c7d426d9ef9aca26db101,1,0,0,65,0.001301
67,67,,0x2cc7df4792e363be72c2f8a1f3cd8f086b5107df,1,0,0,66,0.001301
68,68,,0x2df45c44c37757910b27d6db10d5139d52a8ea13,1,0,0,67,0.001301
69,69,,0x2ef7526b624136b2ee8b426c620c3e6b3997f24e,1,0,0,68,0.001301
70,70,,0x2fc01ff5abb40a0081185f05560c18bc04faf030,1,0,0,69,0.001301
71,71,,0x305ba6fbb4a555d63ad66712ea1364570f409e77,1,0,0,70,0.001301
72,72,,0x30887fc55cbfad3487cb55bfe1779f6d2ba1c118,1,0,0,71,0.001301
73,73,,0x308d5aa5ae305abee43d060d8c3e990a5af61ed9,1,0,0,72,0.001301
74,74,,0x3111327edd38890c3fe564afd96b4c73e8101747,1,13,8,252,0.002647
75,75,,0x3269c4c05356e511bc447da5c722e63f682243c9,1,0,0,73,0.001301
76,76,,0x32a59b87352e980dd6ab1baf462696d28e63525d,1,0,0,74,0.001301
77,77,,0x334f12afb7d8740868be04719639616533075234,1,0,0,75,0.001301
78,78,,0x33f19221618359fdbd68245220b1e6d07d2da12c,1,0,0,76,0.001301
79,79,,0x34cd8a21e92b0abd558ff02d6cc7a9e12daf0ff1,1,0,0,77,0.001301
80,80,,0x350f2808efbaff2a89efc34f0da4e063c4e09b5e,1,0,0,78,0.001301
81,81,,0x35e2acd3f46b13151bc941daa44785a38f3bd97a,1,0,0,79,0.001301
82,82,,0x36000d7592b3bce1a5d7e24d99ad73e38e49cce9,1,0,0,80,0.001301
83,83,,0x361fa18e0320e94a3db20912f24de8be76aa0e49,1,0,0,81,0.001301
84,84,,0x365bd827c68d5de0e2bfa5871dc0ecaaf074d5ab,1,0,0,82,0.001301
85,85,,0x3660581fd4bce34ae6d9d29f619e9561564f20ea,1,0,0,83,0.001301
86,86,,0x368ab9c6c03bedbcd0d0e7913ee903767a9996d6,1,0,0,84,0.001301
87,87,,0x3706c5fbe1d3f9d8e1da3c0989ecff4cb84be4c8,1,1,2,382,0.00249
88,88,,0x385352b1a151c5cd36c8ef61b4504db8a8dcfdcc,1,0,0,85,0.001301
89,89,,0x396983073b0a08b5862288c0825944cf9a6604aa,1,0,0,86,0.001301
90,90,,0x3b38df411221126688b7ca4cd3b5c08144e558e5,1,0,0,87,0.001301
91,91,,0x3b3a03dda29d834eea63ca856f923f8a86d9aa51,1,0,0,88,0.001301
92,92,,0x3bcebeafee1476ae989ef108c2c825ad3be7a38b,1,0,0,89,0.001301
93,93,,0x3c1863dedc30f8650e63e5c4b5400ba80e19b8ac,1,0,0,90,0.001301
94,94,,0x3c87b4c34abdb615bd405458982e1a2076d24111,1,3,5,175,0.004054
95,95,,0x3cf3a2bf69d871c21c0046fa110977dcd17e40ab,1,0,0,91,0.001301
96,96,,0x3d9d67e45989e0eda022faadecee9dd5c6d2e93f,1,0,0,92,0.001301
97,97,,0x3dad32f81f5dc35d961d3da77d32a0a268b8db44,1,1,0,93,0.001301
98,98,,0x3dda651e7175d402aebdf5e230c0c611a7316e87,1,0,0,94,0.001301
99,99,,0x3e9976d5ba86a78d6e5c25bc2f309049676c0798,1,1,4,175,0.003482
100,100,,0x3ec13819b7be728a55dd1fa4ebe26f4ac7e3296b,1,0,0,95,0.001301
101,101,,0x3efd3391a0601eaa093647f911c653d77c11e3fd,1,0,0,96,0.001301
102,102,,0x3f375ddb3e07262d48b3fa79489297ce573e35c4,1,0,0,97,0.001301
103,103,,0x3f3e6add7da36a76539f1cc5b159d040c633134b,1,0,0,98,0.001301
104,104,,0x3f46680099cf623163c96747a8addb85a1da1cd1,1,0,0,99,0.001301
105,105,,0x3fdf68521985a8d5a3a6912aa786b900de3c3878,1,0,0,100,0.001301
106,106,,0x40c4a7f6c109ff62c12a6daa95d6bf3ba38bddc6,1,0,0,101,0.001301
107,107,,0x413acadb4740e55ff5cc4f2805af76eb6f21af49,1,0,0,102,0.001301
108,108,,0x4171160db0e7e2c75a4973b7523b437c010dd9d4,1,0,0,103,0.001301
109,109,,0x424a46612794dbb8000194937834250dc723ffa5,1,0,0,104,0.001301
110,110,,0x436ab15705e0ed23284512770748770ee4c16155,1,0,0,105,0.001301
