Id,Label,timeset,hash,reputation,pageranks,weighted degree
68,68,,0x4a56387886aca3deb6ce3e6817c77e165c8c5e6f,15.318389,0.00117,0
69,69,,0x4a7765c92149884dac1a7a60094efe5670af376a,7.583181,0.00117,0
70,70,,0x4b0ee25ffe4c7cadd970faf783e7445c931cb588,15.166718,0.00117,0
71,71,,0x4b5380fd6a4ef4ca9c5376cb4b8983e4c5a30c33,11.37495,0.001816,6
72,72,,0x4b7b8d3d9a3b255009572e788cb053e1e01d9a4b,17.60015,0.004545,42
73,73,,0x4b7e11feede1cd022a2cdcfb28444594ba3db86b,11.829962,0.00117,0
74,74,,0x4c7696346a5cb4b1e9f9ab248385c461f4f0bb66,7.583181,0.003149,22
75,75,,0x503b2edf3b04dc2dbe7f1e4844dccfa2da439a61,3.813982,0.00117,0
76,76,,0x5174493812970990647d4d27292c819e2f419d36,6.709073,0.003354,24
77,77,,0x521aacb43d89e1b8ffd64d9ef76b0a1074dedaf8,15.573976,0.007771,81
78,78,,0x53b0d3afcc6cff2365109cfd4397d07dd5283153,11.37495,0.00117,0
79,79,,0x5436ef9f52bc943c6719c9437af2a34c0c395da1,11.37495,0.00117,0
80,80,,0x55d2841715897daec406625cd6c630c978901bcd,11.829962,0.00117,0
81,81,,0x5928675ad8f2a5ec995d4787829892cb6df4a65b,41.676693,0.00704,70
82,82,,0x595a9eb1db132d3e40b44eee729e14dd66f94210,18.23805,0.00117,0
83,83,,0x5aac52c0b1d1e74a3bb0d0da0c82e89637714146,8.955802,0.00117,0
84,84,,0x5baeb1a3bc2797b7ea03e876af4974ef141a0be7,7.583181,0.00117,0
85,85,,0x5db06acd673531218b10430ba6de9b69913ad545,9.661221,0.003289,25
86,86,,0x5f3f639988efe64fea12fa992208184fcd1a081a,13.853856,0.005142,48
87,87,,0x6375885ce997543cc7e057fe9af3e255d52fb4f4,9.266727,0.00117,0
88,88,,0x63a32f1595a68e811496d820680b74a5cca303c5,11.37495,0.00117,0
89,89,,0x64c0e885cdd1f5b526f5520bee328aa811418afc,7.583181,0.00117,0
90,90,,0x64eb4dfcc14b96582d8d5095e9894b279e519b4b,14.582786,0.00117,0
91,91,,0x662127bf82b794a26b7ddb6b495f6a5a20b81738,11.37495,0.00117,0
92,92,,0x671c0a12064ab6de3baf91b865d1e02b1042975f,7.583181,0.00117,0
93,93,,0x675747d3dffd8e0fec7a56b27723c52ad479f090,7.583181,0.00117,0
94,94,,0x6ac0a885ed84f4a2d062c60fb7daaf504fc8c47f,29.611138,0.015029,166
95,95,,0x6c5cbadbf03612cbaceeb7f97fc10d2f17d51f41,7.583181,0.00117,0
96,96,,0x6d1a4be65723355a9f5b12c446780a5000849461,13.672949,0.011755,122
97,97,,0x71f84aa585e1eda8852dad8dff3a69d114366dba,10.919937,0.00117,0
98,98,,0x72e1638bd8cd371bfb04cf665b749a0e4ae38324,8.053361,0.00117,0
99,99,,0x7345e5285b2f5eb9383a484477cfb35c5f512905,19.155658,0.001963,10
100,100,,0x735a18186eaf90051f09cd9f67a0e95dc9508f3d,37.917327,0.002413,14
101,101,,0x73db6408abbea97c5db8a2234c4027c315094936,56.754832,0.002955,21
102,102,,0x742c8c86efed4f8e46bb2e03bb8b2fc255526428,0,0.002819,20
103,103,,0x74b4d5f3b90772a7e86b1a46405884131a814434,14.446282,0.00117,0
104,104,,0x7539a96097e5214da7336be510cddd415339949e,18.288684,0.007776,79
105,105,,0x757a2bb0cdc4006c5e1debf21639936b08dca630,8.976125,0.002725,20
106,106,,0x7688660055967db4d0b68d4e0cc3a43b2a5f044b,26.671748,0.004441,36
107,107,,0x76b5064b21a6ed77eac72ed58eb50bdea86ac836,6.311875,0.005781,51
108,108,,0x76bc4c780dd85558bc4b24a4f262f4eb0be78ca7,2.631132,0.001397,3
109,109,,0x774d556f7c2cae79f28a35b8e1f57371df8b8bca,16.289472,0.011462,127
110,110,,0x778549eb292ac98a96a05e122967f22efa003707,9.099889,0.00117,0
111,111,,0x779e782b556e38063e0390cf10a25f63d05cabdc,10.919937,0.001246,1
112,112,,0x793080523d0d4e63ed3473806ed933ea1d5d307c,9.962377,0.006834,65
113,113,,0x79d3544bbe7821f2be4bd745d3df1f14ed211c30,32.266936,0.008759,94
114,114,,0x7b2e78d4dfaaba045a167a70da285e30e8fca196,16.606546,0.005146,25
115,115,,0x7cfa5497ec154ce5fa504e239eb315bd947ba62d,37.917327,0.00117,0
116,116,,0x7eb00dd2aaa4ef54efbee3ebed4498e1a51c8849,11.518583,0.004022,34
117,117,,0x7f43706cb295a641f0e257c3d1920e063b5b4452,8.804131,0.00117,0
118,118,,0x7f5731762f2a1dd3224d7f4ebdb289a5c0c8543d,14.582786,0.00117,0
119,119,,0x7f71dfcb6739a06b56bb9e4c6b5f24182b572c58,11.37495,0.00117,0
120,120,,0x812cc11374013b7a24432525bac405967087a25e,16.683425,0.00117,0
121,121,,0x81aaa9a7a8358cc2971b9b8de72acce6d7862bc8,10.919937,0.001695,7
122,122,,0x8370da48be315b1f73fdbf206a9a8678234a16a4,11.37495,0.00117,0
123,123,,0x842b87e0f5dd45ab5ff972b4d71f238ffad8ad3d,11.37495,0.001816,6
124,124,,0x84861ab366c5d6450727bb411097b4bfbee6e6e5,11.829962,0.00117,0
125,125,,0x86d73b4962acf4e7ef626a73c43a5db68eebf0d0,10.919937,0.002302,14
126,126,,0x86fd6dd41bad636b5b3b9228bc5642fa0df392e8,3.808097,0.00117,0
127,127,,0x8940442e7f54e875c8c1c80213a4aee7eee4781c,0.682163,0.00117,0
128,128,,0x8b166add384dce341f0c7c94cf5e65b495d33d6f,8.917884,0.002555,17
129,129,,0x8d000861fdc4a9544fb1d82177eae9433c1997bf,7.583181,0.00117,0
130,130,,0x8de962fdc6521a426389aad89e1c067c8f816004,11.37495,0.002206,13
131,131,,0x8ed2dbc1de154d3f2dd435b37c719f498a9bb253,16.60759,0.002413,14
132,132,,0x900d38bf3ae3e72f98f377111a9e9e1413974db4,17.434195,0.00117,0
133,133,,0x915b05f6fa6c206749e62c34a74728d83d22ca42,11.37495,0.00117,0
